coach_id,coach_name,team_id
5550,Gianni De Biasi,1201
5551,Marcel Koller,1202
5552,Marc Wilmots,1203
5553,Ante Cacic,1204
5554,Pavel Vrba,1205
5555,Roy Hodgson,1206
5556,Didier Deschamps,1207
5557,Joachim Low,1208
5558,Bernd Storck,1209
5559,Lars Lagerback,1210
5560,Heimir Hallgrimsson,1210
5561,Antonio Conte,1211
5562,Michael ONeill,1212
5563,Adam Nawalka,1213
5564,Fernando Santos,1214
5565,Martin ONeill,1215
5566,Anghel Iordanescu,1216
5567,Leonid Slutski,1217
5568,Jan Kozak,1218
5569,Vicente del Bosque,1219
5570,Erik Hamren,1220
5571,Vladimir Petkovic,1221
5572,Fatih Terim,1222
5573,Mykhailo Fomenko,1223
5574,Chris Coleman,1224
