match_no,play_stage,play_date,results,referee_id,audence
1,G,6/11/16,WIN,70007,75113
2,G,6/11/16,WIN,70012,33805
3,G,6/11/16,WIN,70017,37831
4,G,6/12/16,DRAW,70011,62343
5,G,6/12/16,WIN,70006,43842
6,G,6/12/16,WIN,70014,33742
7,G,6/13/16,WIN,70002,43035
8,G,6/13/16,WIN,70009,29400
9,G,6/13/16,DRAW,70010,73419
10,G,6/14/16,WIN,70005,55408
11,G,6/14/16,WIN,70018,34424
12,G,6/15/16,DRAW,70004,38742
13,G,6/15/16,WIN,70001,38989
14,G,6/15/16,DRAW,70015,43576
15,G,6/16/16,WIN,70013,63670
16,G,6/16/16,WIN,70003,34033
17,G,6/16/16,WIN,70016,51043
18,G,6/17/16,DRAW,70008,73648
19,G,6/17/16,WIN,70007,29600
20,G,6/17/16,DRAW,70005,38376
21,G,6/18/16,WIN,70010,33409
22,G,6/18/16,WIN,70004,39493
23,G,6/18/16,DRAW,70015,60842
24,G,6/19/16,DRAW,70011,44291
25,G,6/20/16,WIN,70016,49752
26,G,6/20/16,DRAW,70001,45616
27,G,6/21/16,WIN,70006,28840
28,G,6/21/16,DRAW,70012,39051
29,G,6/21/16,WIN,70017,58874
30,G,6/21/16,WIN,70018,44125
31,G,6/22/16,WIN,70013,32836
32,G,6/22/16,WIN,70008,37245
33,G,6/22/16,WIN,70009,68714
34,G,6/22/16,DRAW,70002,55514
35,G,6/23/16,WIN,70014,44268
36,G,6/23/16,WIN,70003,34011
37,R,6/25/16,WIN,70005,38842
38,R,6/25/16,WIN,70002,44342
39,R,6/26/16,WIN,70012,33523
40,R,6/26/16,WIN,70011,56279
41,R,6/26/16,WIN,70009,44312
42,R,6/27/16,WIN,70010,28921
43,R,6/27/16,WIN,70004,76165
44,R,6/28/16,WIN,70001,33901
45,Q,7/1/16,WIN,70003,62940
46,Q,7/2/16,WIN,70001,45936
47,Q,7/3/16,WIN,70007,38764
48,Q,7/4/16,WIN,70008,76833
49,S,7/7/16,WIN,70006,55679
50,S,7/8/16,WIN,70011,64078
51,F,7/11/16,WIN,70005,75868
